År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Plejehjem med bekæftede tilfælde;Antal tests blandt beboere;Plejehjem med testede beboere
2020;11;     7;    0;  6;    119;107
2020;12;    24;    3; 16;    254;190
2020;13;    68;   15; 31;    432;249
2020;14;   143;   35; 43;  1.135;361
2020;15;    85;   37; 34;    705;338
2020;16;    78;   30; 35;    914;342
2020;17;    80;   26; 35;  2.282;458
2020;18;    37;   25; 22;  2.463;483
2020;19;    20;   20; 15;  3.095;492
2020;20;    11;    9;  9;  2.524;476
2020;21;     7;    3;  4;  1.614;483
2020;22;    10;    4;  3;  1.530;430
2020;23;     3;    4;  2;  1.259;455
2020;24;    16;    1;  3;  1.054;438
2020;25;     7;    1;  5;  1.893;491
2020;26;     2;    2;  2;  1.931;504
2020;27;     5;    1;  4;  1.712;505
2020;28;     2;    2;  2;  1.528;480
2020;29;     5;    0;  2;  1.197;501
2020;30;     3;    1;  3;  1.247;483
2020;31;     0;    0;  0;  1.578;502
2020;32;     1;    2;  1;  1.613;547
2020;33;     0;    1;  0;  1.463;553
2020;34;     1;    0;  1;  1.335;545
2020;35;     0;    0;  0;  1.300;496
2020;36;     3;    0;  3;  1.331;535
2020;37;    15;    0;  8;  2.153;563
2020;38;    19;    5;  8;  2.947;571
2020;39;    22;    3; 10;  3.139;566
2020;40;    12;    5;  6;  2.972;572
2020;41;    13;    3; 11;  2.620;549
2020;42;    14;    7;  8;  2.666;522
2020;43;    28;    7; 11;  3.584;558
2020;44;    30;    2; 18;  4.628;568
2020;45;    33;    8; 20;  5.443;577
2020;46;    51;    8; 20;  5.691;568
2020;47;    86;   10; 31;  6.926;605
2020;48;    98;   11; 25;  6.378;591
2020;49;   119;   21; 37;  7.385;645
2020;50;   218;   22; 59;  7.799;610
2020;51;   319;   49;105; 10.152;659
2020;52;   408;   62;118; 10.200;623
2020;53;   473;   87;129; 11.284;619
2021;1;   471;   80;128; 11.975;647
2021;2;   359;  110;102; 11.954;627
2021;3;   163;   81; 74; 10.229;663
2021;4;    85;   56; 54;  8.287;606
2021;5;    47;   39; 22;  7.125;595
2021;6;    16;   23; 10;  5.525;576
2021;7;     6;    7;  6;  4.115;559
2021;8;    12;    2;  8;  3.461;537
2021;9;     9;    0;  7;  3.118;566
2021;10;     4;    2;  4;  3.147;571
2021;11;     7;    0;  7;  3.037;570
2021;12;     7;    2;  7;  2.674;569
2021;13;     4;    0;  4;  1.732;493
2021;14;    14;    1;  8;  1.777;511
2021;15;    21;    3; 10;  2.845;553
2021;16;    19;    3; 11;  2.864;531
2021;17;     9;    3;  7;  2.570;533
2021;18;     9;    0;  6;  2.751;546
2021;19;     6;    1;  6;  2.134;466
2021;20;     2;    1;  2;  2.207;432
2021;21;     2;    0;  2;  1.509;380
2021;22;    15;    0;  3;  1.613;345
2021;23;     7;    0;  5;  1.438;325
2021;24;     3;    1;  2;  1.028;271
2021;25;     0;    0;  0;    790;247
2021;26;     1;    0;  1;  1.121;230
2021;27;     6;    0;  3;  1.349;247
2021;28;     7;    1;  6;  1.958;276
2021;29;     7;    0;  5;  2.205;252
2021;30;    11;    3;  7;  2.424;269
2021;31;     9;    3;  5;  2.574;265
2021;32;    16;    2;  8;  3.101;279
2021;33;    19;    0; 12;  2.776;286
2021;34;    33;    3; 16;  3.260;299
2021;35;    39;    1; 17;  3.963;317
2021;36;    45;   12; 18;  4.390;365
2021;37;    25;    6; 13;  2.906;298
2021;38;    15;    6;  8;  2.892;298
2021;39;     3;    6;  3;  2.735;297
2021;40;    17;    1;  9;  2.596;283
2021;41;     4;    4;  4;  3.190;325
2021;42;    16;    1;  8;  4.223;407
2021;43;    15;    3; 11;  5.543;466
2021;44;    30;    4; 22;  7.173;500
2021;45;    26;    4; 22;  7.293;528
2021;46;    54;    3; 30;  7.948;563
2021;47;    31;    9; 23;  8.665;599
2021;48;    58;    7; 32;  9.092;604
2021;49;    93;    6; 50; 10.211;647
2021;50;   145;    9; 66; 12.283;691
2021;51;   202;   11; 94; 14.855;700
2021;52;   646;   14;220; 21.437;754
2022;1;   689;   40;216; 25.185;782
2022;2;   660;   39;206; 23.763;784
2022;3;   873;   47;261; 26.684;805
2022;4; 1.274;   54;344; 28.053;796
2022;5; 1.764;   64;447; 29.744;847
2022;6; 2.152;   99;531; 30.526;872
2022;7; 2.419;  109;569; 27.257;854
2022;8; 2.114;  145;529; 22.569;831
2022;9; 1.803;  127;484; 19.005;818
2022;10; 1.395;  121;397; 16.117;754
2022;11; 1.043;   97;317; 13.123;689
2022;12;   687;   72;259; 10.365;648
2022;13;   485;   53;174;  8.220;552
2022;14;   397;   42;139;  6.917;518
2022;15;   331;   36;128;  5.495;474
2022;16;   290;   20;105;  5.004;490
2022;17;   182;   22; 74;  3.979;414
2022;18;    99;   22; 53;  2.770;378
2022;19;    55;    7; 33;  2.023;335
2022;20;    52;    9; 30;  1.609;331
2022;21;    50;    6; 26;  1.387;300
2022;22;    37;    5; 19;  1.063;271
2022;23;    50;    7; 21;    906;262
2022;24;    55;    5; 32;  1.710;314
2022;25;   104;    7; 47;  2.244;325
2022;26;   104;    6; 55;  4.139;347
2022;27;   114;   12; 63;  4.019;375
2022;28;   266;    5;108;  5.884;402
2022;29;   229;   10; 89;  6.188;404
2022;30;   141;   13; 75;  6.116;364
2022;31;   187;   19; 73;  5.137;373
2022;32;   132;   18; 69;  4.216;352
2022;33;   124;   10; 75;  5.156;403
2022;34;    84;   18; 45;  4.104;364
2022;35;    53;   11; 34;  3.296;319
2022;36;   102;    8; 50;  3.472;352
2022;37;   119;   11; 52;  4.030;345
2022;38;   186;   14; 64;  3.499;338
2022;39;   227;   10; 83;  4.991;383
2022;40;   175;   18; 75;  5.322;399
2022;41;   135;    7; 72;  5.524;394
2022;42;   134;   20; 65;  5.110;410
2022;43;   119;    8; 57;  4.216;425
2022;44;    81;    9; 37;  3.818;374
2022;45;    72;    9; 29;  3.530;355
2022;46;    56;    8; 38;  2.996;352
2022;47;   156;    8; 49;  3.738;367
2022;48;   212;    7; 83;  5.495;409
2022;49;   265;   11; 99;  6.511;403
2022;50;   446;   17;134;  7.228;412
2022;51;   686;   31;194;  9.403;467
2022;52;   475;   31;181;  8.996;480
2023;1;   350;   36;138;  8.605;488
2023;2;   195;   22; 81;  5.187;413
2023;3;    83;   19; 43;  2.911;299
2023;4;    79;   19; 35;  2.101;260
2023;5;    81;    6; 27;  1.845;235
I alt;;30.374;2.772;946;858.044;964
